TaxID	no rank	superkingdom	kingdom	phylum	class	order	family	genus	subgenus	species	varietas	subspecies	forma
3498			Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Moraceae	Morus		Morus alba			
223870			Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Artemisia		Artemisia princeps			
228586			Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Cannabaceae	Humulus		Humulus scandens			
3893			Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Pueraria		Pueraria montana	Pueraria montana var. lobata		
146995			Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Chrysanthemum		Chrysanthemum indicum			
182415			Viridiplantae	Streptophyta	Magnoliopsida	Apiales	Apiaceae	Ostericum		Ostericum grosseserratum			
355332			Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Polygalaceae	Polygala		Polygala tenuifolia			
118431			Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Caryophyllaceae	Dianthus		Dianthus chinensis			
4307			Viridiplantae	Streptophyta	Magnoliopsida	Celastrales	Celastraceae	Euonymus		Euonymus alatus			
85571			Viridiplantae	Streptophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus		Citrus reticulata			
276781			Viridiplantae	Streptophyta	Magnoliopsida	Gentianales	Apocynaceae	Trachelospermum		Trachelospermum asiaticum			
29695			Viridiplantae	Streptophyta	Magnoliopsida	Poales	Poaceae	Phragmites		Phragmites australis			
126596			Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Oleaceae	Fraxinus		Fraxinus chinensis		Fraxinus chinensis subsp. rhynchophylla	
231674			Viridiplantae	Streptophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Pulsatilla		Pulsatilla cernua			
85282			Viridiplantae	Streptophyta	Magnoliopsida	Pandanales	Stemonaceae	Stemona		Stemona japonica			
210369			Viridiplantae	Streptophyta	Magnoliopsida	Zygophyllales	Zygophyllaceae	Tribulus		Tribulus terrestris			
35936			Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lablab		Lablab purpureus			
136224			Viridiplantae	Streptophyta	Magnoliopsida	Zingiberales	Zingiberaceae	Curcuma		Curcuma zedoaria			
3956			Viridiplantae	Streptophyta	Magnoliopsida	Myrtales	Combretaceae	Combretum		Combretum indicum			
510735			Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Crataegus		Crataegus pinnatifida			
239687			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subgen. Esula	Euphorbia kansui			
499988			Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Dalbergia		Dalbergia odorifera			
99300			Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Orobanchaceae	Rehmannia		Rehmannia glutinosa			
49840			Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Sophora		Sophora flavescens			
112883			Viridiplantae	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Lycium		Lycium chinense			
74652	Rosoideae incertae sedis		Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Rosa		Rosa laevigata			
105884			Viridiplantae	Streptophyta	Magnoliopsida	Dipsacales	Caprifoliaceae	Lonicera		Lonicera japonica			
362646			Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Leuzea		Leuzea uniflora			
16906			Viridiplantae	Streptophyta	Magnoliopsida	Cornales	Cornaceae	Cornus		Cornus officinalis			
203643			Viridiplantae	Streptophyta	Magnoliopsida	Poales	Typhaceae	Sparganium		Sparganium stoloniferum			
627609			Viridiplantae	Streptophyta	Magnoliopsida	Saxifragales	Cynomoriaceae	Cynomorium		Cynomorium songaricum			
203100			Viridiplantae	Streptophyta	Magnoliopsida	Liliales	Melanthiaceae	Veratrum		Veratrum nigrum			
102107			Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Prunus		Prunus mume			
50507			Viridiplantae	Streptophyta	Magnoliopsida	Austrobaileyales	Schisandraceae	Schisandra		Schisandra chinensis			
210348			Viridiplantae	Streptophyta	Magnoliopsida	Sapindales	Simaroubaceae	Brucea		Brucea javanica			
128017			Viridiplantae	Streptophyta	Magnoliopsida	Sapindales	Sapindaceae	Dimocarpus		Dimocarpus longan			
434060			Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Prunus		Prunus humilis			
4138			Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Lamiaceae	Paraleonurus		Paraleonurus japonicus			
219868			Viridiplantae	Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	Syzygium		Syzygium aromaticum			
1113480			Viridiplantae	Streptophyta	Magnoliopsida	Dipsacales	Caprifoliaceae	Dipsacus		Dipsacus inermis			
266091			Viridiplantae	Streptophyta	Magnoliopsida	Gentianales	Rubiaceae	Gynochthodes		Gynochthodes officinalis			
3726			Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Raphanus		Raphanus sativus			
227494			Viridiplantae	Streptophyta	Magnoliopsida	Alismatales	Araceae	Arisaema		Arisaema amurense			
467743			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Achariaceae	Hydnocarpus		Hydnocarpus castaneus			
39529			Viridiplantae	Streptophyta	Magnoliopsida	Asparagales	Asparagaceae	Liriope		Liriope muscari			
649195			Viridiplantae	Streptophyta	Magnoliopsida	Zingiberales	Zingiberaceae	Amomum		Amomum krervanh			
35924			Viridiplantae	Streptophyta	Magnoliopsida	Saxifragales	Paeoniaceae	Paeonia		Paeonia lactiflora			
187269			Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Campanulaceae	Adenophora		Adenophora triphylla			
